text,label
There is a deep pothole on the apartment gate,pothole_road_crack
Road has many potholes causing traffic jam,pothole_road_crack
Vehicles are slowing down due to road damage at market,pothole_road_crack
Road has several potholes causing traffic jam,pothole_road_crack
A deep crack in the road near main road is dangerous,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
There is a dangerous pothole on the hospital,pothole_road_crack
There is a dangerous pothole on the hospital,pothole_road_crack
A deep crack in the road near main road is dangerous,pothole_road_crack
There is a large pothole on the junction,pothole_road_crack
There is a dangerous pothole on the main road,pothole_road_crack
There is a large pothole on the metro station,pothole_road_crack
Road has multiple potholes causing accidents,pothole_road_crack
There is a dangerous pothole on the school,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
A deep crack in the road near metro station is dangerous,pothole_road_crack
There is a large pothole on the hospital,pothole_road_crack
Vehicles are slowing down due to road damage at hospital,pothole_road_crack
Vehicles are slowing down due to road damage at hospital,pothole_road_crack
Road has many potholes causing traffic jam,pothole_road_crack
There is a dangerous pothole on the residential area,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
There is a dangerous pothole on the residential area,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
There is a huge pothole on the hospital,pothole_road_crack
Vehicles are slowing down due to road damage at residential area,pothole_road_crack
There is a dangerous pothole on the main road,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
Vehicles are slowing down due to road damage at hospital,pothole_road_crack
Road has many potholes causing vehicle damage,pothole_road_crack
Vehicles are slowing down due to road damage at metro station,pothole_road_crack
Road has multiple potholes causing accidents,pothole_road_crack
A deep crack in the road near junction is dangerous,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
A deep crack in the road near bus stop is dangerous,pothole_road_crack
Road has many potholes causing vehicle damage,pothole_road_crack
Vehicles are slowing down due to road damage at residential area,pothole_road_crack
Vehicles are slowing down due to road damage at junction,pothole_road_crack
There is a large pothole on the school,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
Road has multiple potholes causing accidents,pothole_road_crack
There is a dangerous pothole on the main road,pothole_road_crack
There is a dangerous pothole on the school,pothole_road_crack
Vehicles are slowing down due to road damage at main road,pothole_road_crack
A deep crack in the road near market is dangerous,pothole_road_crack
A deep crack in the road near school is dangerous,pothole_road_crack
Road has multiple potholes causing vehicle damage,pothole_road_crack
There is a deep pothole on the hospital,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
A deep crack in the road near residential area is dangerous,pothole_road_crack
Road has multiple potholes causing traffic jam,pothole_road_crack
A deep crack in the road near residential area is dangerous,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
There is a huge pothole on the school,pothole_road_crack
Vehicles are slowing down due to road damage at bus stop,pothole_road_crack
Road has many potholes causing traffic jam,pothole_road_crack
Vehicles are slowing down due to road damage at bus stop,pothole_road_crack
Vehicles are slowing down due to road damage at metro station,pothole_road_crack
A deep crack in the road near market is dangerous,pothole_road_crack
There is a deep pothole on the residential area,pothole_road_crack
A deep crack in the road near apartment gate is dangerous,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
A deep crack in the road near school is dangerous,pothole_road_crack
There is a huge pothole on the metro station,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
There is a huge pothole on the school,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
Road has many potholes causing vehicle damage,pothole_road_crack
A deep crack in the road near main road is dangerous,pothole_road_crack
There is a large pothole on the junction,pothole_road_crack
Road has several potholes causing accidents,pothole_road_crack
There is a deep pothole on the metro station,pothole_road_crack
A deep crack in the road near metro station is dangerous,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
There is a large pothole on the residential area,pothole_road_crack
A deep crack in the road near school is dangerous,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
There is a huge pothole on the residential area,pothole_road_crack
A deep crack in the road near junction is dangerous,pothole_road_crack
Vehicles are slowing down due to road damage at residential area,pothole_road_crack
Vehicles are slowing down due to road damage at metro station,pothole_road_crack
Vehicles are slowing down due to road damage at market,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
Road has many potholes causing vehicle damage,pothole_road_crack
Road has many potholes causing accidents,pothole_road_crack
A deep crack in the road near junction is dangerous,pothole_road_crack
Vehicles are slowing down due to road damage at main road,pothole_road_crack
Road has multiple potholes causing vehicle damage,pothole_road_crack
Vehicles are slowing down due to road damage at junction,pothole_road_crack
Road has multiple potholes causing traffic jam,pothole_road_crack
There is a dangerous pothole on the main road,pothole_road_crack
Vehicles are slowing down due to road damage at hospital,pothole_road_crack
Road has many potholes causing vehicle damage,pothole_road_crack
A deep crack in the road near bus stop is dangerous,pothole_road_crack
The street surface is broken and has large holes,pothole_road_crack
